SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
136,DC:A6:32:33:B0:DA,2020-07-11 20:33:10.007595,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-61
137,DC:A6:32:33:B0:DA,2020-07-11 20:33:11.142605,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-48
138,DC:A6:32:33:B0:DA,2020-07-11 20:33:12.125099,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-51
139,DC:A6:32:33:B0:DA,2020-07-11 20:33:13.004496,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-50
140,DC:A6:32:33:B0:DA,2020-07-11 20:33:14.016552,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-50
141,DC:A6:32:33:B0:DA,2020-07-11 20:33:15.005191,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-65
142,DC:A6:32:33:B0:DA,2020-07-11 20:33:16.138982,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-50
143,DC:A6:32:33:B0:DA,2020-07-11 20:33:17.039640,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-45
144,DC:A6:32:33:B0:DA,2020-07-11 20:33:18.015244,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-52
145,DC:A6:32:33:B0:DA,2020-07-11 20:33:19.030296,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-56
146,DC:A6:32:33:B0:DA,2020-07-11 20:33:20.008397,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-65
147,DC:A6:32:33:B0:DA,2020-07-11 20:33:21.087790,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-50
148,DC:A6:32:33:B0:DA,2020-07-11 20:33:22.012826,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-46
149,DC:A6:32:33:B0:DA,2020-07-11 20:33:23.016595,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-43
150,DC:A6:32:33:B0:DA,2020-07-11 20:33:24.004134,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-42
151,DC:A6:32:33:B0:DA,2020-07-11 20:33:25.094178,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-72
152,DC:A6:32:33:B0:DA,2020-07-11 20:33:26.062193,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-52
153,DC:A6:32:33:B0:DA,2020-07-11 20:33:27.132838,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-50
154,DC:A6:32:33:B0:DA,2020-07-11 20:33:28.172839,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-51
155,DC:A6:32:33:B0:DA,2020-07-11 20:33:29.036606,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-57
156,DC:A6:32:33:B0:DA,2020-07-11 20:33:30.045454,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-54
157,DC:A6:32:33:B0:DA,2020-07-11 20:33:31.036670,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-47
158,DC:A6:32:33:B0:DA,2020-07-11 20:33:32.014270,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-47
159,DC:A6:32:33:B0:DA,2020-07-11 20:33:33.027885,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-49
160,DC:A6:32:33:B0:DA,2020-07-11 20:33:34.094378,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-50
161,DC:A6:32:33:B0:DA,2020-07-11 20:33:35.062963,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-54
162,DC:A6:32:33:B0:DA,2020-07-11 20:33:36.041917,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-54
163,DC:A6:32:33:B0:DA,2020-07-11 20:33:37.133096,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-65
164,DC:A6:32:33:B0:DA,2020-07-11 20:33:38.016813,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-58
165,DC:A6:32:33:B0:DA,2020-07-11 20:33:39.009863,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-62
166,DC:A6:32:33:B0:DA,2020-07-11 20:33:40.108144,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-59
167,DC:A6:32:33:B0:DA,2020-07-11 20:33:41.024524,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-66
168,DC:A6:32:33:B0:DA,2020-07-11 20:33:42.125683,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-61
169,DC:A6:32:33:B0:DA,2020-07-11 20:33:43.156883,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-63
170,DC:A6:32:33:B0:DA,2020-07-11 20:33:44.053083,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-59
171,DC:A6:32:33:B0:DA,2020-07-11 20:33:45.004465,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-69
172,DC:A6:32:33:B0:DA,2020-07-11 20:33:46.107587,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-64
173,DC:A6:32:33:B0:DA,2020-07-11 20:33:47.055514,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-61
174,DC:A6:32:33:B0:DA,2020-07-11 20:33:48.030807,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-69
175,DC:A6:32:33:B0:DA,2020-07-11 20:33:49.285753,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-62
176,DC:A6:32:33:B0:DA,2020-07-11 20:33:50.136889,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-56
177,DC:A6:32:33:B0:DA,2020-07-11 20:33:51.126928,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-54
178,DC:A6:32:33:B0:DA,2020-07-11 20:33:52.027010,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-53
179,DC:A6:32:33:B0:DA,2020-07-11 20:33:53.095845,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-56
180,DC:A6:32:33:B0:DA,2020-07-11 20:33:54.065120,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-71
181,DC:A6:32:33:B0:DA,2020-07-11 20:33:55.230711,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-44
182,DC:A6:32:33:B0:DA,2020-07-11 20:33:56.192147,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-49
183,DC:A6:32:33:B0:DA,2020-07-11 20:33:57.013227,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-55
184,DC:A6:32:33:B0:DA,2020-07-11 20:33:58.070047,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-49
185,DC:A6:32:33:B0:DA,2020-07-11 20:33:59.065702,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-63
186,DC:A6:32:33:B0:DA,2020-07-11 20:34:00.136259,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-61
187,DC:A6:32:33:B0:DA,2020-07-11 20:34:01.172636,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-63
188,DC:A6:32:33:B0:DA,2020-07-11 20:34:02.008313,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-45
189,DC:A6:32:33:B0:DA,2020-07-11 20:34:03.018233,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-53
190,DC:A6:32:33:B0:DA,2020-07-11 20:34:04.032105,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-56
191,DC:A6:32:33:B0:DA,2020-07-11 20:34:05.184537,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-52
192,DC:A6:32:33:B0:DA,2020-07-11 20:34:06.013219,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-55
193,DC:A6:32:33:B0:DA,2020-07-11 20:34:07.010734,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-54
194,DC:A6:32:33:B0:DA,2020-07-11 20:34:08.086986,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-50
195,DC:A6:32:33:B0:DA,2020-07-11 20:34:09.020228,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-51
196,DC:A6:32:33:B0:DA,2020-07-11 20:34:10.022022,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-50
197,DC:A6:32:33:B0:DA,2020-07-11 20:34:11.010222,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-58
198,DC:A6:32:33:B0:DA,2020-07-11 20:34:12.018439,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-65
199,DC:A6:32:33:B0:DA,2020-07-11 20:34:13.083338,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-55
